x cut 32.0, ge_77_surv: 0.5018315018315018 +-0.030150529099984294, sig_surv: 0.9777320020438789 +-0.0014226502043632365
x cut 33.0, ge_77_surv: 0.5018315018315018 +-0.030150529099984294, sig_surv: 0.9780046714066069 +-0.0014139132729831506
x cut 34.0, ge_77_surv: 0.5091575091575091 +-0.029707138966160996, sig_surv: 0.9791862386450949 +-0.0013754120648754606
x cut 35.0, ge_77_surv: 0.5164835164835164 +-0.029263748832337698, sig_surv: 0.979640687582975 +-0.0013603137802642897
x cut 36.0, ge_77_surv: 0.5164835164835164 +-0.029263748832337698, sig_surv: 0.980186026308431 +-0.0013419716315419094
x cut 37.0, ge_77_surv: 0.5238095238095238 +-0.028820358698514396, sig_surv: 0.980640475246311 +-0.001326492778885433
x cut 38.0, ge_77_surv: 0.5384615384615384 +-0.027933578430867804, sig_surv: 0.981094924184191 +-0.0013108311580852594
x cut 39.0, ge_77_surv: 0.5494505494505495 +-0.027268493230132855, sig_surv: 0.9818220424847991 +-0.0012853757027119547
x cut 40.0, ge_77_surv: 0.5567765567765568 +-0.026825103096309554, sig_surv: 0.9824582709978311 +-0.0012626812831126359
x cut 41.0, ge_77_surv: 0.5604395604395604 +-0.026603408029397906, sig_surv: 0.9832762790860151 +-0.0012328890628732466
x cut 42.0, ge_77_surv: 0.5604395604395604 +-0.026603408029397906, sig_surv: 0.9837307280238952 +-0.0012160224808466394
x cut 43.0, ge_77_surv: 0.5641025641025641 +-0.02638171296248626, sig_surv: 0.9842760667493512 +-0.0011954685077452888
x cut 44.0, ge_77_surv: 0.5714285714285714 +-0.025938322828662957, sig_surv: 0.9850031850499592 +-0.0011675004604392487
x cut 45.0, ge_77_surv: 0.575091575091575 +-0.02571662776175131, sig_surv: 0.9852758544126873 +-0.0011568381324407594
x cut 46.0, ge_77_surv: 0.5787545787545787 +-0.02549493269483966, sig_surv: 0.9855485237754152 +-0.0011460766135874996
x cut 47.0, ge_77_surv: 0.5824175824175823 +-0.025273237627928012, sig_surv: 0.9858211931381433 +-0.0011352130829740102
x cut 48.0, ge_77_surv: 0.5897435897435898 +-0.024829847494104714, sig_surv: 0.9859120829257193 +-0.0011315687298037822
x cut 49.0, ge_77_surv: 0.5897435897435898 +-0.024829847494104714, sig_surv: 0.9860938625008713 +-0.0011242445833974572
x cut 50.0, ge_77_surv: 0.5897435897435898 +-0.024829847494104714, sig_surv: 0.9865483114387513 +-0.0011057219885081723
